request_id,log_stream,ts_cloudwatch,duration_ms,billed_ms,memory_mb,max_memory_mb,init_duration_ms
8688d7fc-7420-47a5-8563-f90f2a54049f,2026/09/20/[$LATEST]39659e93b0c14c499f3487bf5c7c7400,2026-09-20T00:53:49.716000+00:00,1.54,2,128,82,
08142268-ccaa-4866-b567-30ac820ddd71,2026/09/20/[$LATEST]c1f5f41f251a46a4b5e52ea600f4aa45,2026-09-20T00:54:05.792000+00:00,31.70,196,128,82,164.21
ca0eb2d1-09b2-4105-8c72-ce7c92ae24b3,2026/09/20/[$LATEST]c1f5f41f251a46a4b5e52ea600f4aa45,2026-09-20T00:54:06.650000+00:00,1.75,2,128,82,
dc91f8d4-dccc-4c0c-a3cb-9a5b691f4b1d,2026/09/20/[$LATEST]c1f5f41f251a46a4b5e52ea600f4aa45,2026-09-20T00:54:07.487000+00:00,1.67,2,128,82,
07fcb04f-24e0-4571-a765-549d40ad3713,2026/09/20/[$LATEST]c1f5f41f251a46a4b5e52ea600f4aa45,2026-09-20T00:54:08.390000+00:00,1.60,2,128,82,
d4b8833a-28ae-4935-aaba-215227739c6e,2026/09/20/[$LATEST]c1f5f41f251a46a4b5e52ea600f4aa45,2026-09-20T00:54:09.283000+00:00,1.49,2,128,82,
360010ef-24ea-4aac-ae14-94933663aebe,2026/09/20/[$LATEST]c1f5f41f251a46a4b5e52ea600f4aa45,2026-09-20T00:54:10.148000+00:00,1.39,2,128,82,
f128ba80-cc7a-4de3-a3d5-5f20d371db7a,2026/09/20/[$LATEST]2c2528b2f3a14a8f92a9cfa26d10c3aa,2026-09-20T00:54:27.323000+00:00,28.78,182,128,82,152.51
f4350a11-13e3-408f-8b26-ae3be2f8462b,2026/09/20/[$LATEST]2c2528b2f3a14a8f92a9cfa26d10c3aa,2026-09-20T00:54:28.183000+00:00,1.78,2,128,82,
24216771-98f9-4c96-86e6-1503209eb961,2026/09/20/[$LATEST]2c2528b2f3a14a8f92a9cfa26d10c3aa,2026-09-20T00:54:29.084000+00:00,1.86,2,128,82,
428f3480-b361-4b15-8a38-aeacc722df57,2026/09/20/[$LATEST]2c2528b2f3a14a8f92a9cfa26d10c3aa,2026-09-20T00:54:29.971000+00:00,1.53,2,128,82,
565345a7-c281-49f2-9ea7-3a420321b00c,2026/09/20/[$LATEST]2c2528b2f3a14a8f92a9cfa26d10c3aa,2026-09-20T00:54:30.831000+00:00,1.73,2,128,82,
5988cbce-11c3-4dfb-8545-2f2ae335ce62,2026/09/20/[$LATEST]2c2528b2f3a14a8f92a9cfa26d10c3aa,2026-09-20T00:54:31.703000+00:00,1.51,2,128,82,
a4acc093-b541-4aee-8077-c8902a2c2462,2026/09/20/[$LATEST]b521cbf734fe4d39aa415825d4b15c14,2026-09-20T00:54:47.795000+00:00,32.62,181,128,82,147.85
2c376ac7-124d-46f5-bdc6-ee9fb80b0cfd,2026/09/20/[$LATEST]b521cbf734fe4d39aa415825d4b15c14,2026-09-20T00:54:48.673000+00:00,1.71,2,128,82,
7a1c736a-3a12-4843-afd3-b6a6b431ab42,2026/09/20/[$LATEST]b521cbf734fe4d39aa415825d4b15c14,2026-09-20T00:54:49.534000+00:00,1.66,2,128,82,
e4fb5c8d-02b0-44d3-8583-7b4012b80b28,2026/09/20/[$LATEST]b521cbf734fe4d39aa415825d4b15c14,2026-09-20T00:54:50.392000+00:00,1.52,2,128,82,
ac2dbc2c-ecc8-41cc-a151-ad069b8c1874,2026/09/20/[$LATEST]b521cbf734fe4d39aa415825d4b15c14,2026-09-20T00:54:51.252000+00:00,1.40,2,128,82,
6e480d4b-40d1-45ff-a63f-5293807b45b5,2026/09/20/[$LATEST]b521cbf734fe4d39aa415825d4b15c14,2026-09-20T00:54:52.143000+00:00,1.42,2,128,82,
c1ca08b6-41c6-4e5c-a0b1-1ddb9f4a8653,2026/09/20/[$LATEST]cef2276edaea44838bc8eb5b65ef0edc,2026-09-20T00:55:08.588000+00:00,46.20,225,128,82,178.26
73210c01-5739-4b29-b517-ab0119545019,2026/09/20/[$LATEST]cef2276edaea44838bc8eb5b65ef0edc,2026-09-20T00:55:09.448000+00:00,12.99,13,128,82,
d39bca5a-28b9-41f0-9184-ed0f769e9c18,2026/09/20/[$LATEST]cef2276edaea44838bc8eb5b65ef0edc,2026-09-20T00:55:10.307000+00:00,1.83,2,128,82,
582b9c49-2e96-4201-8dd4-30358fe2a180,2026/09/20/[$LATEST]cef2276edaea44838bc8eb5b65ef0edc,2026-09-20T00:55:11.164000+00:00,1.39,2,128,82,
b0f010db-6719-4fde-949e-af8c05ea8873,2026/09/20/[$LATEST]cef2276edaea44838bc8eb5b65ef0edc,2026-09-20T00:55:12.024000+00:00,1.48,2,128,82,
1d2f31f6-7a68-4f6c-b3e5-106cf69449c2,2026/09/20/[$LATEST]cef2276edaea44838bc8eb5b65ef0edc,2026-09-20T00:55:12.893000+00:00,1.45,2,128,82,
9df65dca-a85a-4fc6-8091-1eb0325d0245,2026/09/20/[$LATEST]03007637bc8f413d9078f4cf2e383abc,2026-09-20T00:55:29.827000+00:00,27.57,147,128,82,119.11
567bc654-9568-44e7-9056-4460b18c240b,2026/09/20/[$LATEST]03007637bc8f413d9078f4cf2e383abc,2026-09-20T00:55:30.677000+00:00,1.73,2,128,82,
91b270d3-cc07-4382-87b6-0a1f0b4dad9c,2026/09/20/[$LATEST]03007637bc8f413d9078f4cf2e383abc,2026-09-20T00:55:31.566000+00:00,1.69,2,128,82,
