plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error,cw_duration_ms,cw_billed_ms,cw_init_duration_ms,cw_log_stream,resto_red_plataforma_ms
aws-lambda,forzado,7,0,2026-09-19T21:51:20.635,810.4,200,99b9137d-32c8-4653-a0f0-f74fa1267946,,7,,0c851ab3-4f99-41f4-bed9-323b598adc30,True,instance_id_cambio,,24.75,173,148.10,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,637.5
aws-lambda,forzado,7,1,2026-09-19T21:51:21.572,436.6,200,99b9137d-32c8-4653-a0f0-f74fa1267946,,893,,80422069-c47a-467c-90f5-29cf5b6008af,False,,,1.96,2,,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,434.6
aws-lambda,forzado,7,2,2026-09-19T21:51:22.500,426.9,200,99b9137d-32c8-4653-a0f0-f74fa1267946,,1750,,f43b6196-635d-4902-853b-5a75ff8b8e94,False,,,1.94,2,,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,425.0
aws-lambda,forzado,7,3,2026-09-19T21:51:23.449,447.8,200,99b9137d-32c8-4653-a0f0-f74fa1267946,,2625,,f97619fc-8289-4611-ad1e-00f54a749dfc,False,,,1.59,2,,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,446.2
aws-lambda,forzado,7,4,2026-09-19T21:51:24.402,451.7,200,99b9137d-32c8-4653-a0f0-f74fa1267946,,3505,,5cfe5ca4-94cb-4409-a771-9b7ec5fb2e78,False,,,1.62,2,,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,450.1
aws-lambda,forzado,7,5,2026-09-19T21:51:25.369,466.9,200,99b9137d-32c8-4653-a0f0-f74fa1267946,,4400,,a67f7fae-ff05-4c2c-9c20-6e57d5f49b5a,False,,,1.41,2,,2026/09/20/[$LATEST]016bc37ba2c24c749456906e1c1a11dd,465.5
aws-lambda,forzado,8,0,2026-09-19T21:51:40.211,830.5,200,d7a47c8b-8e34-4303-ab73-a13b634df1dd,,7,,e5cde629-944f-43ed-b6d2-42d26bf83ccd,True,instance_id_cambio,,31.02,226,194.08,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,605.4
aws-lambda,forzado,8,1,2026-09-19T21:51:41.160,447.3,200,d7a47c8b-8e34-4303-ab73-a13b634df1dd,,912,,3964bfec-310a-40d7-94bf-aa8281395c80,False,,,1.71,2,,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,445.6
aws-lambda,forzado,8,2,2026-09-19T21:51:42.159,496.4,200,d7a47c8b-8e34-4303-ab73-a13b634df1dd,,1834,,97926245-7f41-45d3-801a-4ca7a63b7b18,False,,,1.91,2,,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,494.5
aws-lambda,forzado,8,3,2026-09-19T21:51:43.095,432.7,200,d7a47c8b-8e34-4303-ab73-a13b634df1dd,,2698,,d95e22a5-5e1f-43ca-bf76-8c6f8765927d,False,,,1.45,2,,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,431.2
aws-lambda,forzado,8,4,2026-09-19T21:51:44.039,441.6,200,d7a47c8b-8e34-4303-ab73-a13b634df1dd,,3568,,8473893d-2a62-40d4-b1a9-e3cec61fb49a,False,,,1.46,2,,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,440.1
aws-lambda,forzado,8,5,2026-09-19T21:51:44.982,430.4,200,d7a47c8b-8e34-4303-ab73-a13b634df1dd,,4439,,4e21c5ae-2bb3-4490-8d20-d6126ed78ab9,False,,,1.46,2,,2026/09/20/[$LATEST]e032ed583edc4e5fa454e6909ccf6e0b,428.9
aws-lambda,forzado,9,0,2026-09-19T21:52:02.826,708.6,200,0c8586b9-34ed-4ae5-96a5-0e3a7db1a1bc,,6,,b06da939-88f3-4813-b862-4d675238677a,True,instance_id_cambio,,10.80,153,141.53,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,556.3
aws-lambda,forzado,9,1,2026-09-19T21:52:03.755,427.8,200,0c8586b9-34ed-4ae5-96a5-0e3a7db1a1bc,,873,,08b5fb18-8f17-4780-b20b-290d2c848eda,False,,,1.77,2,,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,426.0
aws-lambda,forzado,9,2,2026-09-19T21:52:04.742,479.3,200,0c8586b9-34ed-4ae5-96a5-0e3a7db1a1bc,,1784,,eab6637e-1109-4eb4-9279-d3eec11ff445,False,,,1.59,2,,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,477.7
aws-lambda,forzado,9,3,2026-09-19T21:52:05.669,424.9,200,0c8586b9-34ed-4ae5-96a5-0e3a7db1a1bc,,2639,,747d0782-f3de-4a13-8259-fe3b6a24e14d,False,,,1.41,2,,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,423.5
aws-lambda,forzado,9,4,2026-09-19T21:52:06.628,459.2,200,0c8586b9-34ed-4ae5-96a5-0e3a7db1a1bc,,3525,,9a711ab2-3bc5-4c7e-979b-79fc438ec8b1,False,,,1.47,2,,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,457.7
aws-lambda,forzado,9,5,2026-09-19T21:52:07.557,427.9,200,0c8586b9-34ed-4ae5-96a5-0e3a7db1a1bc,,4381,,804be768-67ec-44ea-8330-0a6992d8d48b,False,,,1.39,2,,2026/09/20/[$LATEST]27114d5f907a466ca5eb7ad4d4a075cd,426.5
aws-lambda,forzado,10,0,2026-09-19T21:52:23.500,744.4,200,5f02ad85-8d56-4bcf-8f6a-a749eca24014,,6,,25cdb2de-37f4-4fb7-9ccd-445f34dd062c,True,instance_id_cambio,,23.43,172,148.28,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,572.7
aws-lambda,forzado,10,1,2026-09-19T21:52:24.542,541.4,200,5f02ad85-8d56-4bcf-8f6a-a749eca24014,,987,,27bdd9e1-1583-4102-aad0-2c244039dd23,False,,,1.64,2,,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,539.8
aws-lambda,forzado,10,2,2026-09-19T21:52:25.503,459.4,200,5f02ad85-8d56-4bcf-8f6a-a749eca24014,,1874,,8e22e769-a4b1-4a21-a8cd-99cbde23a323,False,,,1.65,2,,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,457.8
aws-lambda,forzado,10,3,2026-09-19T21:52:26.430,426.7,200,5f02ad85-8d56-4bcf-8f6a-a749eca24014,,2730,,578bbd82-cead-4a97-a6d4-4eeb24d566fc,False,,,1.67,2,,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,425.0
aws-lambda,forzado,10,4,2026-09-19T21:52:27.389,454.9,200,5f02ad85-8d56-4bcf-8f6a-a749eca24014,,3616,,f7b079ff-eba7-4495-b411-9c7cebfac39f,False,,,1.39,2,,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,453.5
aws-lambda,forzado,10,5,2026-09-19T21:52:28.349,458.7,200,5f02ad85-8d56-4bcf-8f6a-a749eca24014,,4502,,bd794ce0-7f22-4519-a94f-77745a9e7371,False,,,1.56,2,,2026/09/20/[$LATEST]56e8c60294524d83a9773420bc1538a9,457.1
aws-lambda,forzado,11,0,2026-09-19T21:52:43.341,746.8,200,c92bf1ca-aa0b-4263-9d8b-0a5ddc7258e7,,7,,8ee89a09-5109-417a-b086-848fa412c6b2,True,instance_id_cambio,,39.79,191,150.42,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,556.6
aws-lambda,forzado,11,1,2026-09-19T21:52:44.330,464.6,200,c92bf1ca-aa0b-4263-9d8b-0a5ddc7258e7,,941,,c34b3bf7-3349-4b74-9f19-ce5b5e088d47,False,,,1.87,2,,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,462.7
aws-lambda,forzado,11,2,2026-09-19T21:52:45.282,431.6,200,c92bf1ca-aa0b-4263-9d8b-0a5ddc7258e7,,1820,,ab86bfce-5088-4416-8d27-187b37d02cee,False,,,1.77,2,,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,429.8
aws-lambda,forzado,11,3,2026-09-19T21:52:46.243,456.5,200,c92bf1ca-aa0b-4263-9d8b-0a5ddc7258e7,,2707,,15b22d91-cb3e-4b78-ae4e-673c83414247,False,,,1.44,2,,2026/09/20/[$LATEST]68662d61859d4fc7a3a479d521b13b38,455.1
